id,title,type,Description,Image,
root,CONTINUUM SPACE,Root,
cat_bim,BIM,Category,,
cat_acd,Academic,Category,,
cat_art,Art,Category,,
cat_cmp,Computation,Category,,
sub_bim-crd,BIM Coordination,SubCategory,,
sub_bim-ats,BIM Automation Scripts,SubCategory,,
sub_bim-sfd,BIM Software Development,SubCategory,,
sub_bim-dta,BIM Data Analysis,SubCategory,,
sub_acd-arc,Academic Architecture,SubCategory,,
sub_acd-urd,Academic Urban Design,SubCategory,,,
sub_art-ink,Ink,SubCategory,,,
sub_art-dgt,Digital,SubCategory,,,
sub_cmp-sfd,Software Development,SubCategory,,,
sub_cmp-dsn,Design,SubCategory,,,
bim-crd_01,NewGiza Westrige,Project,bim_dashboard,,
bim-crd_02,Sodic Spectrum,Project,bim_dashboard,,
bim-crd_03,ZED West towers,Project,bim_dashboard,,
bim-crd_04,Belle Vie Villas,Project,bim_dashboard,,
bim-crd_05,Southern Dunes Villas,Project,bim_dashboard,,
bim-crd_06,Aquellum,Project,bim_dashboard,,
bim-crd_07,REWE Portz,Project,bim_dashboard,,
bim-crd_08,Hittin,Project,bim_dashboard,,
bim-ats_01,Batch Exporter Script,Project,bim_dashboard,,
bim-sfd_01,Revit C# Plugin,Project,bim_dashboard,,
bim-dta_01,Lifecycle LCA Extraction,Project,bim_dashboard,,
acd-arc_01,Micro to Macro Timber,Project,split,,
acd-arc_02,Factory Adaptive Reuse,Project,split,,
acd-arc_03,Architecture Concept 03,Project,split,,
acd-urd_01,Berlin Masterplan,Project,split,,
acd-urd_02,Urban Design Concept 02,Project,split,,
acd-urd_03,Urban Design Concept 03,Project,split,,
art-ink_01,The Void Canvas,Project,center,,
art-ink_02,Ink Study 02,Project,center,,
art-ink_03,Ink Study 03,Project,center,,
art-dgt_01,Network Graph Viz,Project,center,,
art-dgt_02,Black Heart,Project,center,,
art-dgt_03,Digital Canvas 03,Project,center,,
cmp-sfd_01,Data Parser Core,Project,split,,
cmp-sfd_02,Software Module 02,Project,split,,
cmp-sfd_03,Software Module 03,Project,split,,
cmp-dsn_01,Computational Logic,Project,split,,
cmp-dsn_02,Generative Script 02,Project,split,,
cmp-dsn_03,Generative Script 03,Project,split,,